,-80.662289,11.723531,,,,,
GSRM v2.1,"80 39' 44.24"" S","168 16' 35.29"" E",14.48,147.89,-12.26,7.69,AN(NNR)
,-80.662289,168.276469,,,,,
GSRM v2.1,"80 32' 22.19"" S","142 49' 57.34"" W",16.26,107.86,-4.99,15.47,AN(NNR)
,-80.539498,-142.832595,,,,,
GSRM v2.1,"80 32' 22.19"" S","37 10' 2.66"" W",13.87,22.36,12.83,5.28,AN(NNR)
,-80.539498,-37.167405,,,,,
GSRM v2.1,"80 32' 22.19"" S","37 10' 2.66"" E",9.46,301.80,4.99,-8.04,AN(NNR)
,-80.539498,37.167405,,,,,
GSRM v2.1,"80 32' 22.19"" S","142 49' 57.34"" E",13.01,170.46,-12.83,2.16,AN(NNR)
,-80.539498,142.832595,,,,,
GSRM v2.1,"80 21' 4.54"" S","97 2' 47.06"" W",16.31,71.90,5.07,15.51,AN(NNR)
,-80.351262,-97.046406,,,,,
GSRM v2.1,"80 21' 4.54"" S","82 57' 12.94"" W",15.98,60.73,7.81,13.94,AN(NNR)
,-80.351262,-82.953594,,,,,
GSRM v2.1,"80 21' 4.54"" S","82 57' 12.94"" E",9.41,237.41,-5.07,-7.93,AN(NNR)
,-80.351262,82.953594,,,,,
GSRM v2.1,"80 21' 4.54"" S","97 2' 47.06"" E",10.07,219.16,-7.81,-6.36,AN(NNR)
,-80.351262,97.046406,,,,,
GSRM v2.1,"80 5' 17.84"" S",0 E,11.45,347.39,11.18,-2.5,AN(NNR)
,-80.088289,0.000000,,,,,
GSRM v2.1,"80 5' 17.84"" S",180 E,15.19,137.39,-11.18,10.28,AN(NNR)
,-80.088289,180.000000,,,,,
GSRM v2.1,"79 49' 43.36"" S","131 23' 13.09"" W",16.66,98.71,-2.52,16.47,AN(NNR)
,-79.828711,-131.386969,,,,,
GSRM v2.1,"79 49' 43.36"" S","48 36' 46.91"" W",14.65,33.20,12.26,8.02,AN(NNR)
,-79.828711,-48.613031,,,,,
GSRM v2.1,"79 49' 43.36"" S","48 36' 46.91"" E",8.85,286.56,2.52,-8.48,AN(NNR)
,-79.828711,48.613031,,,,,
GSRM v2.1,"79 49' 43.36"" S","131 23' 13.09"" E",12.26,180.18,-12.26,-0.04,AN(NNR)
,-79.828711,131.386969,,,,,
GSRM v2.1,"79 47' 48.4"" S","110 20' 1.95"" W",16.68,82.42,2.2,16.54,AN(NNR)
,-79.796778,-110.333875,,,,,
GSRM v2.1,"79 47' 48.4"" S","69 39' 58.05"" W",15.68,50.51,9.97,12.1,AN(NNR)
,-79.796778,-69.666125,,,,,
GSRM v2.1,"79 47' 48.4"" S","69 39' 58.05"" E",8.81,255.53,-2.2,-8.53,AN(NNR)
,-79.796778,69.666125,,,,,
GSRM v2.1,"79 47' 48.4"" S","110 20' 1.95"" E",10.77,202.31,-9.97,-4.09,AN(NNR)
,-79.796778,110.333875,,,,,
GSRM v2.1,"78 58' 2.69"" S","159 49' 14.64"" W",16.33,120.37,-8.25,14.09,AN(NNR)
,-78.967414,-159.820734,,,,,
GSRM v2.1,"78 58' 2.69"" S","20 10' 45.36"" W",12.91,9.51,12.73,2.13,AN(NNR)
,-78.967414,-20.179266,,,,,
GSRM v2.1,"78 58' 2.69"" S","20 10' 45.36"" E",9.88,326.64,8.25,-5.43,AN(NNR)
,-78.967414,20.179266,,,,,
GSRM v2.1,"78 58' 2.69"" S","159 49' 14.64"" E",14.3,152.88,-12.73,6.52,AN(NNR)
,-78.967414,159.820734,,,,,
GSRM v2.1,"78 51' 43.08"" S","149 4' 44.77"" W",16.68,112.03,-6.25,15.46,AN(NNR)
,-78.861967,-149.079104,,,,,
GSRM v2.1,"78 51' 43.08"" S","30 55' 15.23"" W",13.7,19.36,12.92,4.54,AN(NNR)
,-78.861967,-30.920896,,,,,
GSRM v2.1,"78 51' 43.08"" S","30 55' 15.23"" E",9.19,312.91,6.25,-6.73,AN(NNR)
,-78.861967,30.920896,,,,,
GSRM v2.1,"78 51' 43.08"" S","149 4' 44.77"" E",13.59,162.02,-12.92,4.19,AN(NNR)
,-78.861967,149.079104,,,,,
GSRM v2.1,"78 47' 40.21"" S","121 43' 2.91"" W",17.07,91.20,-0.36,17.06,AN(NNR)
,-78.794504,-121.717474,,,,,
GSRM v2.1,"78 47' 40.21"" S","58 16' 57.09"" W",15.41,42.31,11.4,10.37,AN(NNR)
,-78.794504,-58.282526,,,,,
GSRM v2.1,"78 47' 40.21"" S","58 16' 57.09"" E",8.28,272.47,0.36,-8.28,AN(NNR)
,-78.794504,58.282526,,,,,
GSRM v2.1,"78 47' 40.21"" S","121 43' 2.91"" E",11.51,187.93,-11.4,-1.59,AN(NNR)
,-78.794504,121.717474,,,,,
GSRM v2.1,"78 42' 29.82"" S","170 18' 29.24"" W",15.99,128.36,-9.93,12.54,AN(NNR)
,-78.708283,-170.308123,,,,,
GSRM v2.1,"78 42' 29.82"" S","9 41' 30.76"" W",12.11,0.00,12.11,0,AN(NNR)
,-78.708283,-9.691877,,,,,
GSRM v2.1,"78 42' 29.82"" S","9 41' 30.76"" E",10.59,339.61,9.93,-3.69,AN(NNR)
,-78.708283,9.691877,,,,,
GSRM v2.1,"78 42' 29.82"" S","170 18' 29.24"" E",15,143.84,-12.11,8.85,AN(NNR)
,-78.708283,170.308123,,,,,
GSRM v2.1,"78 28' 0.47"" S",90 W,16.77,67.24,6.49,15.47,AN(NNR)
,-78.466796,-90.000000,,,,,
GSRM v2.1,"78 28' 0.47"" S",90 E,9.13,224.74,-6.49,-6.43,AN(NNR)
,-78.466796,90.000000,,,,,
GSRM v2.1,"78 23' 11.79"" S","138 50' 11.84"" W",17.05,104.07,-4.14,16.54,AN(NNR)
,-78.386608,-138.836623,,,,,
GSRM v2.1,"78 23' 11.79"" S","41 9' 48.16"" W",14.47,28.79,12.69,6.97,AN(NNR)
,-78.386608,-41.163377,,,,,
GSRM v2.1,"78 23' 11.79"" S","41 9' 48.16"" E",8.51,299.12,4.14,-7.44,AN(NNR)
,-78.386608,41.163377,,,,,
GSRM v2.1,"78 23' 11.79"" S","138 50' 11.84"" E",12.86,170.47,-12.69,2.13,AN(NNR)
,-78.386608,138.836623,,,,,
GSRM v2.1,"78 13' 52.64"" S","101 38' 26.6"" W",17.1,76.13,4.1,16.61,AN(NNR)
,-78.231289,-101.640723,,,,,
GSRM v2.1,"78 13' 52.64"" S","78 21' 33.4"" W",16.47,58.49,8.61,14.04,AN(NNR)
,-78.231289,-78.359277,,,,,
